date ; stroke
2019-02-03 17:58:38,464 ; i
2019-02-03 17:58:38,585 ; t
2019-02-03 17:58:38,675 ; e
2019-02-03 17:58:38,756 ; space
2019-02-03 17:58:38,894 ; d
2019-02-03 17:58:38,948 ; u
2019-02-03 17:58:39,011 ; space
2019-02-03 17:58:39,144 ; t
2019-02-03 17:58:39,224 ; e
2019-02-03 17:58:39,407 ; x
2019-02-03 17:58:39,594 ; t
2019-02-03 17:58:39,688 ; e
2019-02-03 17:58:39,764 ; space
2019-02-03 17:58:40,016 ; v
2019-02-03 17:58:40,217 ; a
2019-02-03 17:58:40,289 ; space
2019-02-03 17:58:42,033 ; a
2019-02-03 17:58:42,105 ; b
2019-02-03 17:58:42,172 ; o
2019-02-03 17:58:42,298 ; r
2019-02-03 17:58:42,517 ; d
2019-02-03 17:58:42,689 ; e
2019-02-03 17:58:42,833 ; r
2019-02-03 17:58:42,914 ; space
2019-02-03 17:58:43,060 ; d
2019-02-03 17:58:43,201 ; e
2019-02-03 17:58:43,420 ; s
2019-02-03 17:58:43,514 ; space
2019-02-03 17:58:43,645 ; e
2019-02-03 17:58:43,857 ; x
2019-02-03 17:58:43,969 ; e
2019-02-03 17:58:44,119 ; m
2019-02-03 17:58:44,223 ; p
2019-02-03 17:58:44,303 ; l
2019-02-03 17:58:44,442 ; e
2019-02-03 17:58:44,631 ; s
2019-02-03 17:58:44,793 ; space
2019-02-03 17:58:46,088 ; backspace
2019-02-03 17:58:46,586 ; backspace
2019-02-03 17:58:46,617 ; backspace
2019-02-03 17:58:46,649 ; backspace
2019-02-03 17:58:46,681 ; backspace
2019-02-03 17:58:46,713 ; backspace
2019-02-03 17:58:46,746 ; backspace
2019-02-03 17:58:46,777 ; backspace
2019-02-03 17:58:46,810 ; backspace
2019-02-03 17:58:46,842 ; backspace
2019-02-03 17:58:46,873 ; backspace
2019-02-03 17:58:46,905 ; backspace
2019-02-03 17:58:46,937 ; backspace
2019-02-03 17:58:46,970 ; backspace
2019-02-03 17:58:47,001 ; backspace
2019-02-03 17:58:47,033 ; backspace
2019-02-03 17:58:47,065 ; backspace
2019-02-03 17:58:47,097 ; backspace
2019-02-03 17:58:47,247 ; backspace
2019-02-03 17:58:47,398 ; backspace
2019-02-03 17:58:47,544 ; backspace
2019-02-03 17:58:48,078 ; p
2019-02-03 17:58:48,142 ; e
2019-02-03 17:58:48,258 ; r
2019-02-03 17:58:48,490 ; m
2019-02-03 17:58:48,688 ; e
