date ; stroke
2019-01-29 14:11:11,933 ; g
2019-01-29 14:11:12,053 ; l
2019-01-29 14:11:12,196 ; o
2019-01-29 14:11:12,941 ; b
2019-01-29 14:11:13,047 ; a
2019-01-29 14:11:13,197 ; l
2019-01-29 14:11:13,364 ; space
2019-01-29 14:11:13,495 ; v
2019-01-29 14:11:13,681 ; a
2019-01-29 14:11:13,773 ; r
2019-01-29 14:11:13,887 ; i
2019-01-29 14:11:13,967 ; a
2019-01-29 14:11:14,078 ; b
2019-01-29 14:11:14,289 ; l
2019-01-29 14:11:14,333 ; e
